"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","New customers","Returning customers","Day (previous_year)","Orders (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Net sales (previous_year)","Shipping charges (previous_year)","Duties (previous_year)","Additional fees (previous_year)","Taxes (previous_year)","Total sales (previous_year)","New customers (previous_year)","Returning customers (previous_year)","Orders (previous_year) ","Gross sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Net sales (previous_year) ","Shipping charges (previous_year) ","Duties (previous_year) ","Additional fees (previous_year) ","Taxes (previous_year) ","Total sales (previous_year) ","New customers (previous_year) ","Returning customers (previous_year) "
"2025-09-30",164,85015.43,-13292.63,-3333.02,68389.78,1035,0,0,4298.48,73723.26,77,81,"2024-09-29",70,36106.61,-2964.81,-5194.5,27947.3,58.28,0,0,2251.12,30256.7,41,29,134.28571428571428,135.456,-348.346,35.835,144.709,1675.909,,,90.948,143.659,87.8048780487805,179.31034482758622
"2025-10-01",127,55291.26,-7029.15,-5568.07,42694.04,54,0,0,3242.5,45990.54,77,50,"2024-09-30",74,54338.74,-3368.98,-2499.75,48470.01,36,0,0,3633.87,52139.88,50,23,71.62162162162163,1.752,-108.643,-122.745,-11.916,50,,,-10.77,-11.793,54,117.3913043478261
"2025-10-02",151,72831.71,-10701.99,-3509.24,58620.48,75,0,0,3974.98,62670.46,80,71,"2024-10-01",141,68549.15,-6669.7,-7559.74,54319.71,24,0,0,3967.55,58311.26,71,69,7.092198581560283,6.247,-60.456,53.579,7.917,212.5,,,0.187,7.475,12.67605633802817,2.898550724637681
"2025-10-03",94,41912.58,-4573.09,-3939.32,33400.17,27,0,0,2450.68,35877.85,57,37,"2024-10-02",109,50837.54,-3401.22,-456.7,46979.62,93,0,0,3108.6,50181.22,54,53,-13.761467889908257,-17.555,-34.454,-762.561,-28.904,-70.967,,,-21.164,-28.503,5.555555555555555,-30.18867924528302
"2025-10-04",67,41539.57,-2363.75,-559.2,38616.62,66,0,0,2731.18,41413.8,45,22,"2024-10-03",110,33957.24,-2084.09,-2536.53,29336.62,36,0,0,1849.27,31221.89,59,50,-39.09090909090909,22.329,-13.418,77.954,31.632,83.333,,,47.689,32.643,-23.728813559322035,-56
"2025-10-05",72,35306.81,-1936.45,-1295.95,32074.41,45,0,0,2339.23,34458.64,50,22,"2024-10-04",62,22903.4,-1114.75,-14450.47,7338.18,18,0,0,454.35,7810.53,26,36,16.129032258064516,54.155,-73.711,91.031,337.089,150,,,414.851,341.181,92.3076923076923,-38.888888888888886
"2025-10-06",65,34537.39,-2044.24,-4470.18,28022.97,0,0,0,2035.4,30058.37,38,27,"2024-10-05",55,38062.1,-2059.4,-1140.7,34862,1449,0,0,2708.75,39019.75,29,26,18.181818181818183,-9.26,0.736,-291.88,-19.617,-100,,,-24.858,-22.966,31.03448275862069,3.8461538461538463
"2025-10-07",129,58847.43,-4267.74,-3602.26,50977.43,27,0,0,3823.52,54827.95,77,51,"2024-10-06",63,40325.36,-2379.9,-361.18,37584.28,27,0,0,2801.23,40412.51,41,22,104.76190476190476,45.931,-79.324,-897.358,35.634,0,,,36.494,35.67,87.8048780487805,131.8181818181818
"2025-10-08",145,50305,-6264.2,-466.31,43574.49,27,0,0,2776.08,46377.57,92,49,"2024-10-07",97,38558.04,-2361.67,-1955.9,34240.47,90,0,0,2411.89,36742.36,46,51,49.48453608247423,30.465,-165.244,76.158,27.26,-70,,,15.099,26.223,100,-3.9215686274509802
"2025-10-09",73,34407.84,-3731.51,-6683.83,23992.5,18,0,0,1634.58,25645.08,42,31,"2024-10-08",114,46347.1,-3539.01,-7461.33,35346.76,241,0,0,2411.93,37999.69,54,59,-35.96491228070175,-25.76,-5.439,10.42,-32.122,-92.531,,,-32.229,-32.512,-22.22222222222222,-47.45762711864407
