date,real_revenue,orders
2025-01-01,350575.45000000007,567
2025-01-02,202617.18000000002,373
2025-01-03,160519.80000000002,261
2025-01-04,115866.27,188
2025-01-05,117698.14,200
2025-01-06,130906.21999999997,222
2025-01-07,120098.18,207
2025-01-08,96762.23999999999,158
2025-01-09,103812.01000000001,161
2025-01-10,99756.24,160
2025-01-11,94130.08,144
2025-01-12,100785.22,184
2025-01-13,98761.43,155
2025-01-14,94477.95,154
2025-01-15,87354.42,163
2025-01-16,102271.44,172
2025-01-17,122961.60999999999,171
2025-01-18,87403.63,148
2025-01-19,115925.65,192
2025-01-20,112250.9,187
2025-01-21,104407.32000000002,163
2025-01-22,87768.4,157
2025-01-23,108377.14,193
2025-01-24,97227.71,176
2025-01-25,99263.93,180
2025-01-26,97724.36,165
2025-01-27,83870.76,166
2025-01-28,97948.71,175
2025-01-29,90801.90000000001,152
2025-01-30,81035.12999999999,150
2025-01-31,86815.65000000001,152
2025-02-01,87874.73999999999,146
2025-02-02,95314.0,168
2025-02-03,88540.51,157
2025-02-04,86344.39,146
2025-02-05,89570.83,136
2025-02-06,78264.65999999999,154
2025-02-07,61809.47,110
2025-02-08,73517.35,143
2025-02-09,96622.90000000001,170
2025-02-10,74861.29000000001,157
2025-02-11,97701.5,155
2025-02-12,96069.5,167
2025-02-13,82765.83999999998,133
2025-02-14,80762.59000000001,128
2025-02-15,57803.170000000006,129
2025-02-16,94784.73000000001,151
2025-02-17,107818.86000000002,169
2025-02-18,75147.64,135
2025-02-19,61924.850000000006,124
2025-02-20,72160.04999999999,131
2025-02-21,78079.24,135
2025-02-22,78135.91,130
2025-02-23,60466.52,117
2025-02-24,82218.18,149
2025-02-25,65240.56,124
2025-02-26,71966.83,128
2025-02-27,73994.16999999998,108
2025-02-28,66072.61,127
2025-03-01,54122.24,99
2025-03-02,64029.32000000001,121
2025-03-03,68059.26,103
2025-03-04,84798.01,142
2025-03-05,69386.49,126
2025-03-06,89436.76999999999,99
2025-03-07,75271.24,125
2025-03-08,76864.66,123
2025-03-09,85845.98,136
2025-03-10,69668.06,123
2025-03-11,51906.369999999995,98
2025-03-12,68288.56999999999,117
2025-03-13,51826.549999999996,88
2025-03-14,79284.98000000001,121
2025-03-15,64867.98,105
2025-03-16,80183.29,142
2025-03-17,67613.26,118
2025-03-18,57193.63,102
2025-03-19,68456.71,110
2025-03-20,62555.39,103
2025-03-21,83618.36,166
2025-03-22,118551.98,245
2025-03-23,205436.08000000002,416
2025-03-24,84716.40000000001,167
2025-03-25,57509.46000000001,107
2025-03-26,51754.72,101
2025-03-27,85287.32,137
2025-03-28,50206.659999999996,107
2025-03-29,54064.56999999999,96
2025-03-30,56072.14000000001,109
2025-03-31,54041.98,101
