Date,Session default channel group,Sessions,Total users,Ecommerce purchases,Purchase revenue
2025-01-01,Paid Shopping,13595,13035,26,16647.330000000005
2025-02-16,Organic Shopping,12530,12759,11,4806.949999999999
2025-02-12,Organic Shopping,11379,11075,19,9467.129999999996
2025-11-14,Organic Social,11288,10827,28,13429.5
2025-02-17,Organic Shopping,11142,11255,12,8246.26
2025-07-14,Paid Other,10665,8236,0,0.0
2025-07-15,Paid Other,10590,8254,1,85.22
2025-02-18,Organic Shopping,10249,9855,13,6855.920000000001
2025-09-01,Paid Other,10148,7544,4,1706.1999999999998
2025-02-20,Organic Shopping,10106,9991,11,3144.6400000000003
2025-07-12,Paid Other,10093,7858,0,0.0
2025-02-15,Organic Shopping,9877,9995,10,3613.8799999999997
2025-02-19,Organic Shopping,9846,9883,5,4659.61
2025-07-16,Paid Other,9734,7691,0,0.0
2025-07-13,Paid Other,9690,7459,0,0.0
2025-02-02,Organic Social,9620,9523,9,8003.3
2025-02-09,Organic Social,9619,9625,7,1884.8100000000002
2025-01-19,Organic Social,9531,9530,11,5855.67
2025-07-17,Paid Other,9341,7068,0,0.0
2025-02-13,Organic Shopping,9298,9450,5,1979.3899999999999
2025-02-09,Organic Shopping,9143,9141,7,3434.0
2025-01-16,Organic Social,9091,9033,9,4218.64
2025-02-10,Organic Shopping,8919,8868,9,2752.53
2025-02-14,Organic Shopping,8639,8710,6,3017.7200000000003
2025-01-17,Organic Social,8595,8427,9,5157.29
2025-01-18,Organic Social,8590,8588,11,5892.029999999999
2025-02-13,Organic Social,8537,8229,5,4701.2
2025-10-01,Direct,8488,8176,29,13617.885105
2025-01-18,Unassigned,8476,7755,27,18119.37
2025-02-11,Organic Shopping,8326,8224,10,8090.65
2025-02-01,Organic Social,8323,8125,3,1517.0700000000002
2025-05-24,Organic Social,8284,7998,59,31907.170000000013
2025-01-20,Organic Social,8255,8229,14,8446.519999999999
2025-01-02,Unassigned,8227,6958,138,71759.72883699992
2025-02-16,Organic Social,8226,8137,1,447.9
2025-05-21,Organic Social,8075,7527,41,16720.430000000004
2025-07-19,Paid Other,8044,5665,0,0.0
2025-09-01,Direct,8040,7656,100,52804.21124800002
2025-02-20,Organic Social,7900,7755,5,1995.87
2025-01-27,Organic Social,7893,7502,6,4972.849999999999
2025-05-23,Organic Social,7893,7564,30,14957.64
2025-02-14,Organic Social,7822,7691,2,2372.31
2025-07-11,Paid Other,7793,5954,1,435.42
2025-02-10,Organic Social,7775,7564,8,5502.459999999999
2025-06-12,Paid Other,7649,5864,1,9.0
2025-02-02,Organic Shopping,7594,7606,13,3923.6
2025-11-15,Organic Social,7580,7447,13,6347.85
2025-02-03,Organic Social,7576,7657,3,2151.54
2025-10-05,Direct,7526,7319,15,4360.599999999999
2025-02-04,Organic Shopping,7522,7511,15,5699.510000000001
