"Product title","Product type","Day","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales","New customers","Returning customers"
"(GWP) Infrared Sauna Blanket Colored Insert","Accessories","2025-01-01",1,0,0,0,0,0,0,0,1
"Red Light Starter Kit","Rituals & Kits","2025-01-01",9,5643,0,0,5643,438.75,6081.75,7,2
"Best Seller Bundle","Rituals & Kits","2025-01-01",6,11724,0,0,11724,957.49,12681.49,6,0
"PEMF Go Mat Starter Kit","Rituals & Kits","2025-01-01",34,20604,0,0,20604,1441.89,22045.89,28,6
"Recovery Bundle","HOLIDAY BUNDLE","2025-01-01",5,7845,0,0,7845,524.84,8369.84,4,1
"HigherDOSE Mat Cover","Tools & Accessories","2025-01-01",4,236,-35.4,0,200.6,14.87,215.47,3,1
"Endorphin Kit","Rituals & Kits","2025-01-01",1,149,0,0,149,14.9,163.9,1,0
"SweatBand","Tools & Accessories","2025-01-01",12,588,-88.2,0,499.8,33.85,533.65,6,5
"HigherDOSE PEMF Pro Mat","PEMF","2025-01-01",25,33484.4,-6084.87,0,27399.53,1928.77,29328.3,23,2
"Red Light Skin Starter Kit","Rituals & Kits","2025-01-01",16,8592,0,0,8592,591.93,9183.93,12,4
"DailyDOSE Time-Marked Glass Water Bottle","Tools & Accessories","2025-01-01",7,273,-54.6,0,218.4,15.95,234.35,2,4
"Detox Drops","Lymphatic","2025-01-01",13,377,-75.4,0,301.6,9.32,310.92,6,4
"HigherDOSE Heat-Activated Endorphin Oil","Body Care","2025-01-01",21,1575,-270,0,1305,87.92,1392.92,8,13
"PEMF Pro Mat Starter Kit","Rituals & Kits","2025-01-01",47,48739,0,0,48739,3387.65,52126.65,30,16
"Infrared PEMF Go Mat","PEMF","2025-01-01",34,23919.97,-4352.79,0,19567.18,1546.23,21113.41,27,6
"Daily Dose Ritual","Body Care","2025-01-01",7,763,0,0,763,53.28,816.28,1,6
"Best Seller Plus Bundle","Rituals & Kits","2025-01-01",1,2092,0,0,2092,146.44,2238.44,1,0
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-01",86,57534,0,0,57534,4274.12,61808.12,75,10
"Sauna Blanket Bag","Tools & Accessories","2025-01-01",4,400.27,-80.05,0,320.22,27.42,347.64,3,1
"High-Dration Powder","Infrared Sauna","2025-01-01",17,657.15,-121.97,0,535.18,28.49,563.67,3,8
"PRO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-01",1,0,0,0,0,0,0,0,1
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-01",19,969.3,-153,0,816.3,55.87,872.17,10,8
"Red Light Hat","Hair Care","2025-01-01",98,44002,-8306.5,0,35695.5,2635.84,38331.34,58,40
"Ultimate Biohacking Bundle","Rituals & Kits","2025-01-01",8,19192,0,0,19192,1155.74,20347.74,8,0
"SUPERCHARGE Copper Body Brush","Body Care","2025-01-01",12,828,-151.8,0,676.2,43.89,720.09,6,6
"Light-Activated Glow Serum","Face & Neck","2025-01-01",20,1348.95,-188.19,0,1160.76,86.79,1247.55,11,9
"High Maintenance Cleaner","Tools & Accessories","2025-01-01",7,483,-82.8,0,400.2,26.3,426.5,2,5
"Peak Performance Bundle","HOLIDAY BUNDLE","2025-01-01",3,2337,0,0,2337,207.23,2544.23,3,0
"Red Light Neck Enhancer","Face & Neck","2025-01-01",15,5235,-977.2,0,4257.8,293.16,4550.96,5,10
"Infrared Sauna Blanket","Infrared Sauna","2025-01-01",63,47936.51,-9587.31,0,38349.2,2970.21,41319.41,56,7
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-01",5,363.75,-45,0,318.75,19.89,338.64,2,3
"EMF Blocking Fanny Pack","Tools & Accessories","2025-01-01",3,267,-53.4,0,213.6,15.85,229.45,2,1
"HighDration Kit","Tools & Accessories","2025-01-01",250,12250,-12054,0,196,15.13,211.13,207,41
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-01",5,2790,0,0,2790,208.01,2998.01,5,0
"(BLACK) Infrared Sauna Blanket - Replacement Cord","Replacement Cord","2025-01-01",1,50,0,0,50,0,50,1,0
"(Z) Red Light Neck Enhancer","Comp","2025-01-01",1,0,0,0,0,0,0,0,1
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-01",85,29535.24,-5752.81,0,23782.43,1699.21,25481.64,71,14
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-01",57,6466.75,-1165.55,0,5301.2,381.82,5683.02,33,20
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-01",14,490,-84,0,406,23.67,429.67,5,7
"(Z) HigherDOSE Red Light Face Mask","Comp","2025-01-01",4,0,0,0,0,0,0,0,4
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-02",25,1665.75,-290.1,0,1375.65,100.69,1476.34,12,8
"eGift Card","Gift Card","2025-01-02",5,650,0,0,650,0,650,3,1
"High-Dration Powder","Infrared Sauna","2025-01-02",10,378.3,-62.4,0,315.9,13.92,329.82,1,7
"(Z) Sweat Band","Accessories","2025-01-02",2,0,0,0,0,0,0,0,1
"SUPERCHARGE Copper Body Brush","Body Care","2025-01-02",13,909.5,-168.1,0,741.4,40.26,781.66,9,4
"Light-Activated Glow Serum","Face & Neck","2025-01-02",8,541.65,-75.9,0,465.75,32.65,498.4,4,4
"Red Light Hat","Hair Care","2025-01-02",35,18958.94,-3612.18,-2694,12652.76,861.81,13514.57,25,16
"(Z) Sauna Blanket Bag","Comp","2025-01-02",2,0,0,0,0,0,0,0,2
"Infrared PEMF Go Mat","PEMF","2025-01-02",28,23094.53,-4117.8,-2423.8,16552.93,1125.04,17677.97,25,7
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-02",46,40809,0,-10065,30744,2387.56,33131.56,55,6
"Sauna Blanket Bag","Tools & Accessories","2025-01-02",3,297,-59.4,0,237.6,15.75,253.35,0,3
"(Z) HIGH MAINTENANCE Cleaner","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"HighDration Kit","Tools & Accessories","2025-01-02",141,8330,-8232,-49,49,8.09,57.09,129,38
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-02",7,4464,0,-558,3906,273.46,4179.46,5,3
"(Z) Infrared Sauna Blanket","Comp","2025-01-02",4,0,0,0,0,0,0,0,4
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-02",8,280,-56,0,224,14.87,238.87,4,4
"(Z) HigherDOSE Red Light Face Mask","Comp","2025-01-02",16,0,0,0,0,0,0,3,13
"(Z) HIGH MAINTENANCE Cleaner (Refill)","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-02",56,22312.01,-4340.25,-2233.6,15738.16,1130.67,16868.83,52,12
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-02",33,4111.9,-700.5,-396.8,3014.6,237.61,3252.21,22,11
"High Maintenance Cleaner","Tools & Accessories","2025-01-02",6,483,-82.8,-55.2,345,20.06,365.06,3,4
"LED RED Light Face Mask Hardware","Replacement Parts","2025-01-02",1,50,0,0,50,0,50,1,0
"Peak Performance Bundle","HOLIDAY BUNDLE","2025-01-02",1,779,0,0,779,80.24,859.24,0,1
"Red Light Neck Enhancer","Face & Neck","2025-01-02",3,1348.76,-204.63,-279.2,864.93,82.01,946.94,1,3
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-02",7,502.5,-75,0,427.5,30.23,457.73,3,4
"EMF Blocking Fanny Pack","Tools & Accessories","2025-01-02",7,623,-124.6,0,498.4,29.61,528.01,3,3
"Mask - Replacement Cord","Replacement Cord","2025-01-02",5,0,0,0,0,0,0,1,4
"(Z) Detox Drops","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"Infrared Sauna Blanket","Infrared Sauna","2025-01-02",25,25218.36,-4973.76,-5345.6,14899,1286.05,16185.05,30,4
"Recovery Bundle","HOLIDAY BUNDLE","2025-01-02",4,7845,0,-1569,6276,558.55,6834.55,5,0
"HigherDOSE Mat Cover","Tools & Accessories","2025-01-02",10,730,-130.2,0,599.8,40.92,640.72,5,5
"Red Light Starter Kit","Rituals & Kits","2025-01-02",10,6270,0,0,6270,440.49,6710.49,5,4
"Best Seller Bundle","Rituals & Kits","2025-01-02",-1,3908,0,-5862,-1954,-208.12,-2162.12,2,0
"PEMF Go Mat Starter Kit","Rituals & Kits","2025-01-02",12,12120,0,-4881,7239,515.44,7754.44,12,7
"(Z) HigherDOSE Oxytocin Oil ( Sample pouches card)","Comp","2025-01-02",1,0,0,0,0,0,0,1,0
"(Z) Red Light Hat",,"2025-01-02",1,0,0,0,0,0,0,0,1
"Red Light Hat  - Replacement Parts","Replacement Cord","2025-01-02",1,0,0,0,0,0,0,0,1
"(Z) HigherDOSE PEMF Pro Mat","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"HigherDOSE Heat-Activated Endorphin Oil","Body Care","2025-01-02",10,750,-135,0,615,42.18,657.18,2,8
"(Z) Infrared Sauna Blanket Insert ( All variants)","Comp","2025-01-02",3,0,0,0,0,0,0,0,3
"Detox Drops","Lymphatic","2025-01-02",11,348,-58,-23.2,266.8,3.76,270.56,6,3
"PEMF Pro Mat Starter Kit","Rituals & Kits","2025-01-02",16,22814,0,-6284,16530,1331.87,17861.87,17,5
"SweatBand","Tools & Accessories","2025-01-02",2,98,-19.6,0,78.4,6.52,84.92,1,1
"Dopamine Set","Rituals & Kits","2025-01-02",1,75,0,0,75,3.2,78.2,1,0
"(Z) Infrared PEMF Go Mat","Comp","2025-01-02",1,0,0,0,0,0,0,0,1
"DailyDOSE Time-Marked Glass Water Bottle","Tools & Accessories","2025-01-02",1,39,-7.8,0,31.2,1.87,33.07,1,0
"GO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-02",2,0,0,0,0,0,0,1,1
"HigherDOSE PEMF Pro Mat","PEMF","2025-01-02",9,19899,-3461.8,-6500.05,9937.15,711.56,10648.71,12,3
"Red Light Skin Starter Kit","Rituals & Kits","2025-01-02",4,3759,0,-1649,2110,149.07,2259.07,3,4
"Endorphin Kit","Rituals & Kits","2025-01-03",2,338,0,0,338,25.09,363.09,1,1
"HighDration Kit","Tools & Accessories","2025-01-03",23,1176,-1127,0,49,1.23,50.23,15,9
"Red Light Starter Kit","Rituals & Kits","2025-01-03",7,5033,0,0,5033,360.59,5393.59,6,1
"Best Seller Bundle","Rituals & Kits","2025-01-03",1,2239,-223.9,0,2015.1,177.33,2192.43,1,0
"PEMF Go Mat Starter Kit","Rituals & Kits","2025-01-03",6,4301,0,0,4301,231.99,4532.99,4,2
"(Z) Glow Serum","Comp","2025-01-03",6,0,0,0,0,0,0,3,3
"Recovery Bundle","HOLIDAY BUNDLE","2025-01-03",4,6496,0,0,6496,480.21,6976.21,4,0
"(Z) HigherDOSE Mat Cover","Comp","2025-01-03",7,0,0,0,0,0,0,1,6
"HigherDOSE Mat Cover","Tools & Accessories","2025-01-03",5,375,-65.59,0,309.41,22.69,332.1,4,1
"(Z) HigherDOSE Endorphin Oil","Comp","2025-01-03",1,0,0,0,0,0,0,0,1
"(Z) HigherDOSE PEMF Pro Mat","Comp","2025-01-03",1,0,0,0,0,0,0,0,1
"EMF Blocking Fanny Pack","Tools & Accessories","2025-01-03",1,89,-17.8,0,71.2,6.14,77.34,1,0
"(TAN) Infrared Sauna Blanket - Replacement Cord","Replacement Cord","2025-01-03",2,0,0,0,0,0,0,0,1
"(Z) HigherDOSE Oxytocin Oil ( Sample pouches card)","Comp","2025-01-03",3,0,0,0,0,0,0,0,3
"Red Light Neck Enhancer","Face & Neck","2025-01-03",8,2687.3,-418.8,0,2268.5,163.68,2432.18,4,4
"(Z) Red Light Hat",,"2025-01-03",3,0,0,0,0,0,0,2,1
"PEMF Pro Mat Starter Kit","Rituals & Kits","2025-01-03",13,15455,-1422.7,0,14032.3,950.89,14983.19,10,2
"Detox Drops","Lymphatic","2025-01-03",10,285.65,-29,0,256.65,9.78,266.43,7,3
"(Z) SUPERCHARGE Copper Body Brush","Comp","2025-01-03",2,0,0,0,0,0,0,0,2
"HigherDOSE Heat-Activated Endorphin Oil","Body Care","2025-01-03",10,716.25,-52.5,0,663.75,48.41,712.16,6,4
"(Z) Infrared Sauna Blanket Insert ( All variants)","Comp","2025-01-03",3,0,0,0,0,0,0,1,2
"HigherDOSE PEMF Pro Mat","PEMF","2025-01-03",14,18446,-2831.65,0,15614.35,1067.8,16682.15,13,1
"Red Light Skin Starter Kit","Rituals & Kits","2025-01-03",2,1074,0,0,1074,87.8,1161.8,1,1
"DailyDOSE Time-Marked Glass Water Bottle","Tools & Accessories","2025-01-03",5,195,-7.8,0,187.2,13.94,201.14,0,4
"GO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-03",1,0,0,0,0,0,0,1,0
"(Z) Infrared PEMF Go Mat","Comp","2025-01-03",5,0,0,0,0,0,0,1,4
"SweatBand","Tools & Accessories","2025-01-03",5,245,-34.3,0,210.7,15.78,226.48,3,2
"Daily Dose Ritual","Body Care","2025-01-03",3,327,0,0,327,17.19,344.19,3,0
"(Z) Oxytocin Oil ( Full Size Sample)","Comp","2025-01-03",1,0,0,0,0,0,0,0,1
"Red Light Hat","Hair Care","2025-01-03",42,18959.67,-2286.63,0,16673.04,1246.68,17919.72,30,12
"(Z) DailyDOSE Water Bottle","Accessories","2025-01-03",1,0,0,0,0,0,0,0,1
"(Z) HigherDOSE Serotonin Soak Salt","Comp","2025-01-03",3,0,0,0,0,0,0,1,2
"(Z) HigherDOSE Transdermal Magnesium Spray","Comp","2025-01-03",1,0,0,0,0,0,0,0,1
"Ultimate Biohacking Bundle","Rituals & Kits","2025-01-03",2,4798,0,0,4798,386.85,5184.85,1,1
"SUPERCHARGE Copper Body Brush","Body Care","2025-01-03",2,138,-13.8,0,124.2,7.21,131.41,2,0
"Light-Activated Glow Serum","Face & Neck","2025-01-03",10,679.65,-72.45,0,607.2,41.02,648.22,6,4
"High-Dration Powder","Infrared Sauna","2025-01-03",7,267.15,-19.5,0,247.65,12.75,260.4,4,2
"PRO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-03",1,0,0,0,0,0,0,0,1
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-03",12,888,-148.26,0,739.74,52.01,791.75,4,7
"(Z) HIGH MAINTENANCE Cleaner","Comp","2025-01-03",1,0,0,0,0,0,0,0,1
"Best Seller Plus Bundle","Rituals & Kits","2025-01-03",1,2092,0,0,2092,146.44,2238.44,1,0
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-03",16,13401,-66.9,-669,12665.1,858.68,13523.78,17,0
"Add-on Red Light Panel",,"2025-01-03",1,1599,-300,0,1299,116.91,1415.91,0,1
"(Z) Sauna Blanket Bag","Comp","2025-01-03",1,0,0,0,0,0,0,0,1
"Infrared PEMF Go Mat","PEMF","2025-01-03",21,14777.37,-2639.65,0,12137.72,888.66,13026.38,16,5
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-03",47,16258.49,-2469.94,0,13788.55,999.82,14788.37,40,7
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-03",25,3007.37,-287.4,-71.2,2648.77,226.1,2874.87,15,7
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-03",10,344.75,-26.25,0,318.5,18.39,336.89,5,2
"(Z) HigherDOSE Red Light Face Mask","Comp","2025-01-03",10,0,0,0,0,0,0,5,5
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-03",9,5022,0,0,5022,297.95,5319.95,9,0
"(Z) Infrared Sauna Blanket","Comp","2025-01-03",5,0,0,0,0,0,0,1,4
"(BLACK) Infrared Sauna Blanket - Replacement Cord","Replacement Cord","2025-01-03",1,0,0,0,0,0,0,0,1
"Mask - Replacement Cord","Replacement Cord","2025-01-03",4,0,0,0,0,0,0,1,3
"(Z) Detox Drops","Comp","2025-01-03",2,0,0,0,0,0,0,0,2
"Infrared Sauna Blanket","Infrared Sauna","2025-01-03",48,36725.61,-4929.94,0,31795.67,2223.38,34019.05,44,4
"Oxytocin Set","HOLIDAY BUNDLE","2025-01-03",1,205,0,0,205,12.81,217.81,1,0
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-03",4,300,-60,0,240,16.5,256.5,1,3
"High Maintenance Cleaner","Tools & Accessories","2025-01-03",8,552,-96.6,0,455.4,39.13,494.53,4,3
"Peak Performance Bundle","HOLIDAY BUNDLE","2025-01-03",1,889,0,0,889,73.34,962.34,1,0
"(POS) HighDration Kit","Brush","2025-01-03",1,0,0,0,0,0,0,0,1
"Red Light Hat  - Replacement Parts","Replacement Cord","2025-01-03",2,0,0,0,0,0,0,0,1
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-04",4,175,-12.25,-35,127.75,10.21,137.96,1,4
"(Z) HigherDOSE Red Light Face Mask","Comp","2025-01-04",5,0,0,0,0,0,0,0,5
"HighDration Kit","Tools & Accessories","2025-01-04",-8,0,0,0,0,0,0,0,0
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-04",33,11841.63,-1321.33,-279.2,10241.1,801.28,11042.38,32,2
"(Z) Red Light Neck Enhancer","Comp","2025-01-04",1,0,0,0,0,0,0,1,0
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-04",15,1948.12,-214.9,-183.2,1550.02,133.73,1683.75,10,5
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-04",9,5022,0,0,5022,288.91,5310.91,8,1
"(Z) Infrared Sauna Blanket","Comp","2025-01-04",1,0,0,0,0,0,0,0,1
"(BLACK) Infrared Sauna Blanket - Replacement Cord","Replacement Cord","2025-01-04",3,0,0,0,0,0,0,0,3
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-04",5,375,0,0,375,30.2,405.2,4,1
"Mask - Replacement Cord","Replacement Cord","2025-01-04",3,0,0,0,0,0,0,0,3
"Infrared Sauna Blanket","Infrared Sauna","2025-01-04",22,18749.26,-1952.5,-1919.2,14877.56,983.94,15861.5,21,4
"Red Light Neck Enhancer","Face & Neck","2025-01-04",4,1396,-157.05,0,1238.95,107.91,1346.86,3,1
"High Maintenance Cleaner","Tools & Accessories","2025-01-04",2,138,0,0,138,9.84,147.84,2,0
"Ultimate Biohacking Bundle","Rituals & Kits","2025-01-04",2,4798,0,0,4798,179.93,4977.93,2,0
"Light-Activated Glow Serum","Face & Neck","2025-01-04",8,552,-27.6,0,524.4,37.21,561.61,3,5
"SUPERCHARGE Copper Body Brush","Body Care","2025-01-04",5,345,0,0,345,25.88,370.88,3,2
"Red Light Hat","Hair Care","2025-01-04",28,13485.94,-830.65,-718.4,11936.89,971.77,12908.66,21,9
"PRO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-04",2,0,0,0,0,0,0,0,2
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-04",9,339.3,-7.8,0,331.5,24.33,355.83,4,5
"High-Dration Powder","Infrared Sauna","2025-01-04",11,423.15,-37.05,0,386.1,11.49,397.59,3,6
"eGift Card","Gift Card","2025-01-04",3,150,0,0,150,0,150,1,0
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-04",5,7425,-156,-2676,4593,313.09,4906.09,8,1
"Sauna Blanket Bag","Tools & Accessories","2025-01-04",1,99,0,0,99,9.9,108.9,0,1
"Best Seller Plus Bundle","Rituals & Kits","2025-01-04",3,6276,0,0,6276,523,6799,3,0
"Infrared PEMF Go Mat","PEMF","2025-01-04",10,9264,-1751.35,-1677.6,5835.05,424.13,6259.18,4,8
"Daily Dose Ritual","Body Care","2025-01-04",3,327,0,0,327,15.1,342.1,3,0
"PEMF Pro Mat Starter Kit","Rituals & Kits","2025-01-04",5,6595,0,0,6595,527.61,7122.61,5,0
"HigherDOSE Heat-Activated Endorphin Oil","Body Care","2025-01-04",4,300,-26.25,0,273.75,18.76,292.51,2,2
"Detox Drops","Lymphatic","2025-01-04",4,111.65,-4.35,0,107.3,3.22,110.52,2,2
"DailyDOSE Time-Marked Glass Water Bottle","Tools & Accessories","2025-01-04",4,156,-7.8,0,148.2,11.06,159.26,0,4
"GO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-04",2,0,0,0,0,0,0,0,2
"HigherDOSE PEMF Pro Mat","PEMF","2025-01-04",15,21194,-1220.8,-1036,18937.2,1355.47,20292.67,14,2
"Red Light Skin Starter Kit","Rituals & Kits","2025-01-04",2,1827,0,-537,1290,110.9,1400.9,3,0
"Dopamine Set","Rituals & Kits","2025-01-04",4,300,0,0,300,13.5,313.5,0,1
"SweatBand","Tools & Accessories","2025-01-04",4,196,-9.8,0,186.2,13.06,199.26,2,2
"LED RED Light Face Mask Straps","Replacement Parts","2025-01-04",1,0,0,0,0,0,0,0,1
"Endorphin Kit","Rituals & Kits","2025-01-04",1,169,0,0,169,15,184,0,1
"Recovery Bundle","HOLIDAY BUNDLE","2025-01-04",1,1789,0,0,1789,107.34,1896.34,1,0
"HigherDOSE Mat Cover","Tools & Accessories","2025-01-04",7,533,-96.75,0,436.25,25.17,461.42,5,2
"Red Light Starter Kit","Rituals & Kits","2025-01-04",2,1438,0,0,1438,57.52,1495.52,2,0
"Best Seller Bundle","Rituals & Kits","2025-01-04",2,4193,-732.55,0,3460.45,278.36,3738.81,1,1
"PEMF Go Mat Starter Kit","Rituals & Kits","2025-01-04",6,5173,0,-606,4567,296.43,4863.43,5,1
"(TAN) Infrared Sauna Blanket - Replacement Cord","Replacement Cord","2025-01-04",1,50,0,0,50,0,50,1,0
"Detox Drops","Lymphatic","2025-01-05",3,87,0,0,87,4.24,91.24,1,2
"HigherDOSE Heat-Activated Endorphin Oil","Body Care","2025-01-05",15,1125,-120,0,1005,64.4,1069.4,7,7
"PEMF Pro Mat Starter Kit","Rituals & Kits","2025-01-05",7,9233,0,0,9233,560.27,9793.27,5,2
"SweatBand","Tools & Accessories","2025-01-05",8,392,-29.4,0,362.6,23.64,386.24,5,3
"HigherDOSE PEMF Pro Mat","PEMF","2025-01-05",16,21273,-1925.15,0,19347.85,1361.32,20709.17,14,2
"DailyDOSE Time-Marked Glass Water Bottle","Tools & Accessories","2025-01-05",2,78,0,0,78,4.73,82.73,0,2
"GO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-05",1,0,0,0,0,0,0,1,0
"Red Light Starter Kit","Rituals & Kits","2025-01-05",5,3595,0,0,3595,275.03,3870.03,4,1
"Best Seller Bundle","Rituals & Kits","2025-01-05",1,2239,0,0,2239,0,2239,1,0
"PEMF Go Mat Starter Kit","Rituals & Kits","2025-01-05",1,739,0,0,739,68.36,807.36,1,0
"HighDration Kit","Tools & Accessories","2025-01-05",2,98,-49,0,49,4.35,53.35,1,1
"Recovery Bundle","HOLIDAY BUNDLE","2025-01-05",1,1789,0,0,1789,118.52,1907.52,1,0
"HigherDOSE Mat Cover","Tools & Accessories","2025-01-05",4,296,-15.8,0,280.2,16.2,296.4,1,3
"Endorphin Kit","Rituals & Kits","2025-01-05",5,845,0,0,845,69.23,914.23,3,2
"Red Light Neck Enhancer","Face & Neck","2025-01-05",5,1745,-69.8,0,1675.2,126.47,1801.67,3,2
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-05",7,4026.04,0,0,4026.04,252.94,4278.98,7,0
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-05",25,8595.89,-693.12,0,7902.77,604.28,8507.05,21,4
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-05",15,1970.73,-102.32,-82.37,1786.04,133.69,1919.73,8,7
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-05",5,175,-10.5,0,164.5,12.35,176.85,3,2
"High Maintenance Cleaner","Tools & Accessories","2025-01-05",9,600.3,-13.8,0,586.5,40.3,626.8,2,6
"Mask - Replacement Cord","Replacement Cord","2025-01-05",1,0,0,0,0,0,0,0,1
"Infrared Sauna Blanket","Infrared Sauna","2025-01-05",37,29223.18,-2255.74,0,26967.44,1909.12,28876.56,32,5
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-05",3,225,-11.25,0,213.75,18.13,231.88,0,3
"High-Dration Powder","Infrared Sauna","2025-01-05",1,39,0,0,39,2,41,0,1
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-05",8,606.15,0,0,606.15,42.6,648.75,4,4
"Red Light Hat","Hair Care","2025-01-05",38,17222.05,-958.91,0,16263.14,1281.41,17544.55,25,12
"Light-Activated Glow Serum","Face & Neck","2025-01-05",6,382.95,-17.25,0,365.7,23.09,388.79,3,3
"SUPERCHARGE Copper Body Brush","Body Care","2025-01-05",5,324.3,0,0,324.3,17.85,342.15,3,2
"Infrared PEMF Go Mat","PEMF","2025-01-05",8,5740.69,-314.55,0,5426.14,415.23,5841.37,6,1
"Dopamine Set","Rituals & Kits","2025-01-05",1,75,0,0,75,4.5,79.5,1,0
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-05",14,11550,-165,0,11385,779.25,12164.25,13,1
"Sauna Blanket Bag","Tools & Accessories","2025-01-05",2,198,-19.8,0,178.2,14.4,192.6,0,2
"(Z) HigherDOSE Mat Bag","Comp","2025-01-06",1,0,0,0,0,0,0,0,1
"Red Light Hat  - Replacement Parts","Replacement Cord","2025-01-06",1,0,0,0,0,0,0,0,1
"HigherDOSE Light-Activated Oxytocin Oil","Body Care","2025-01-06",3,225,-11.25,0,213.75,20.84,234.59,1,2
"(Z) Detox Drops","Comp","2025-01-06",5,0,0,0,0,0,0,0,1
"Mask - Replacement Cord","Replacement Cord","2025-01-06",3,0,0,0,0,0,0,1,2
"Infrared Sauna Blanket","Infrared Sauna","2025-01-06",27,21095,-1819.55,0,19275.45,1435.62,20711.07,22,5
"(Z) Infrared Sauna Blanket","Comp","2025-01-06",6,0,0,0,0,0,0,1,5
"Red Light Face Mask and Neck Enhancer Combo","Face & Neck","2025-01-06",3,1674,0,0,1674,125.56,1799.56,1,2
"(BLACK) Infrared Sauna Blanket - Replacement Cord","Replacement Cord","2025-01-06",1,0,0,0,0,0,0,0,1
"HigherDOSE Transdermal Magnesium Spray","Body Care","2025-01-06",9,309.75,-24.5,0,285.25,23.46,308.71,6,3
"(Z) HigherDOSE Red Light Face Mask","Comp","2025-01-06",5,0,0,0,0,0,0,1,4
"(Z) Red Light Neck Enhancer","Comp","2025-01-06",1,0,0,0,0,0,0,0,1
"HigherDOSE Red Light Face Mask","Face & Neck","2025-01-06",35,12165.24,-1164.63,0,11000.61,780.05,11780.66,28,7
"Infrared Sauna Blanket Insert","Infrared Sauna","2025-01-06",12,1348,-75.65,0,1272.35,101.28,1373.63,7,5
"Infrared PEMF Go Mat","PEMF","2025-01-06",8,5651,-489.3,0,5161.7,412.89,5574.59,7,1
"(Z) Sauna Blanket Bag","Comp","2025-01-06",1,0,0,0,0,0,0,1,0
"Add-on Red Light Panel",,"2025-01-06",1,1599,-100,0,1499,104.93,1603.93,0,1
"Sauna Blanket Starter Kit","Rituals & Kits","2025-01-06",19,16500,0,-669,15831,1235.94,17066.94,18,2
"Best Seller Plus Bundle","Rituals & Kits","2025-01-06",1,2092,0,0,2092,214.43,2306.43,1,0
"PRO Mat Replacement Cord - US/Canada","Replacement Cord","2025-01-06",1,50,0,0,50,0,50,0,1
"HigherDOSE Serotonin Soak Salt","Body Care","2025-01-06",19,862.5,-39.45,0,823.05,61.56,884.61,7,5
"High-Dration Powder","Infrared Sauna","2025-01-06",11,405.6,-27.49,0,378.11,21.12,399.23,3,6
"Ultimate Biohacking Bundle","Rituals & Kits","2025-01-06",1,2399,0,0,2399,204.52,2603.52,1,0
"Light-Activated Glow Serum","Face & Neck","2025-01-06",7,470.8,-13.8,0,457,37.51,494.51,4,3
