"Month","Months since first purchase","Customers","Customer retention rate","Customers in cohort"
"2025-01-01",3,60,0.013777267508610792,4355
"2025-01-01",2,116,0.02663605051664753,4355
"2025-01-01",0,231,0.05304247990815155,4355
"2025-01-01",1,143,0.03283582089552239,4355
"2025-01-01",4,88,0.020206659012629163,4355
"2025-01-01",5,48,0.011021814006888633,4355
"2025-02-01",3,73,0.025822426600636716,2827
"2025-02-01",2,61,0.02157764414573753,2827
"2025-02-01",0,125,0.04421648390519986,2827
"2025-02-01",1,124,0.04386275203395826,2827
"2025-02-01",4,37,0.013088079235939158,2827
"2025-03-01",3,50,0.01773049645390071,2820
"2025-03-01",2,97,0.03439716312056738,2820
"2025-03-01",0,148,0.0524822695035461,2820
"2025-03-01",1,106,0.0375886524822695,2820
"2025-04-01",2,55,0.021484375,2560
"2025-04-01",1,116,0.0453125,2560
"2025-04-01",0,85,0.033203125,2560
"2025-05-01",0,219,0.04607616242373238,4753
"2025-05-01",1,184,0.03871239217336419,4753
"2025-06-01",0,97,0.04334226988382484,2238
