"New or returning customer","Month","Customers","Orders","Total sales"
"New","2024-01-01",4111,4111,2521378.5
"Returning","2024-01-01",1779,1927,526951.16
"New","2024-02-01",3592,3592,2116758.07
"Returning","2024-02-01",1671,1809,470729.47
"New","2024-03-01",2996,2996,1930488.42
"Returning","2024-03-01",1459,1574,447008.28
"New","2024-04-01",3063,3063,1865383.2
"Returning","2024-04-01",1636,1801,449727.79
"New","2024-05-01",4271,4271,2459093.22
"Returning","2024-05-01",2431,2639,792009.63
"New","2024-06-01",1595,1595,899866.73
"Returning","2024-06-01",1225,1290,257229.46
"New","2024-07-01",1662,1662,951448.19
"Returning","2024-07-01",1104,1178,255351.88
"New","2024-08-01",2105,2105,1181469.03
"Returning","2024-08-01",1597,1716,465069.56
"New","2024-09-01",1990,1990,1274578.09
"Returning","2024-09-01",1221,1319,361698.91
"New","2024-10-01",1582,1582,946475.71
"Returning","2024-10-01",1257,1387,336583.39
"New","2024-11-01",6969,6969,4522853.6
"Returning","2024-11-01",2976,3263,1387116.4
"New","2024-12-01",11761,11761,7625067.6
"Returning","2024-12-01",4255,4709,2024921.86
