"Day","Gross sales","Discounts","Orders","Average order value","Day (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Orders (previous_year)","Average order value (previous_year)"
"2025-03-04",89977.53,-5260.52,174,486.879,"2024-03-03",99715.63,-6463.36,145,643.119
"2025-03-05",74362.85,-4440.11,146,478.922,"2024-03-04",84260,-4939.04,138,574.789
"2025-03-06",94408.87,-5885,123,719.706,"2024-03-05",82795.92,-4125.45,161,488.636
"2025-03-07",79150.72,-3906.48,241,312.216,"2024-03-06",74656.05,-5291.91,160,433.525
"2025-03-08",79867.08,-3011.42,137,560.99,"2024-03-07",64687.7,-4481.5,112,537.555
"2025-03-09",90164.83,-4385.85,141,608.361,"2024-03-08",90356.79,-4621.92,198,433.004
"2025-03-10",73272.22,-4567.91,134,512.718,"2024-03-09",81248.22,-6272.62,130,576.735
"2025-03-11",54706.4,-2909.03,115,450.411,"2024-03-10",82372.42,-4711.03,134,579.562
"2025-03-12",71978.52,-3882.95,162,420.343,"2024-03-11",79168.76,-6150.04,119,613.602
"2025-03-13",54369.7,-2691.15,120,430.654,"2024-03-12",73825.99,-5211.23,137,500.837
"2025-03-14",83497.26,-3875.28,159,500.767,"2024-03-13",71087.56,-4324.15,143,466.876
"2025-03-15",68135.91,-3262.93,111,584.441,"2024-03-14",80971.48,-5620.41,159,473.906
"2025-03-16",85853.2,-4771.91,144,563.064,"2024-03-15",95524.8,-8864.45,200,433.301
"2025-03-17",72527.61,-3840.78,132,520.354,"2024-03-16",80352.25,-7855.67,141,514.16
"2025-03-18",60532.02,-2825.39,122,473.005,"2024-03-17",188603.09,-26296.25,318,510.398
"2025-03-19",73160.01,-4751.3,128,534.443,"2024-03-18",126300.82,-15528.59,208,532.558
"2025-03-20",66071.59,-3670.29,134,465.681,"2024-03-19",107548.86,-6041.92,158,642.448
"2025-03-21",95188.13,-10347.52,195,435.08,"2024-03-20",74929.06,-3454.53,129,554.066
"2025-03-22",139183.74,-20703.76,265,447.094,"2024-03-21",73828.47,-6343.78,156,432.594
"2025-03-23",241372.06,-37096.48,424,481.782,"2024-03-22",64723.43,-3233.28,134,458.881
"2025-03-24",97197.82,-12870.42,186,453.373,"2024-03-23",87572.58,-5150.73,129,638.929
"2025-03-25",59689.67,-2374.2,154,372.178,"2024-03-24",84089.88,-3672.2,114,705.418
"2025-03-26",55068.62,-3317.9,111,466.222,"2024-03-25",76242.07,-4159.3,109,661.309
"2025-03-27",90667.64,-6424.32,168,501.448,"2024-03-26",81590.28,-4532.35,121,636.842
"2025-03-28",53145.03,-2983.37,149,336.655,"2024-03-27",69840.63,-5344.29,128,503.877
"2025-03-29",57422.01,-3393.44,111,486.743,"2024-03-28",79596.25,-5264.65,123,604.321
"2025-03-30",60128.66,-3315.12,114,498.364,"2024-03-29",78819.57,-4493.94,132,563.072
"2025-03-31",57352.15,-3337.17,124,435.604,"2024-03-30",66956.74,-4996.35,134,462.39
"2025-04-01",53724.3,-2389.75,113,454.288,"2024-03-31",79351.6,-5240.14,107,692.63
"2025-04-02",72843.03,-3032.26,140,498.648,"2024-04-01",78403.23,-3989.94,110,676.484
"2025-04-03",76214.13,-3784,131,552.901,"2024-04-02",69159.77,-3566.88,138,475.31
"2025-04-04",62122.01,-2873.64,145,408.609,"2024-04-03",89385.02,-6222.47,135,616.018
"2025-04-05",57890.21,-3163.69,110,497.513,"2024-04-04",83698.17,-6029.45,120,647.239
"2025-04-06",61882.25,-3252.79,108,542.865,"2024-04-05",96527.46,-6211.53,161,560.968
"2025-04-07",57204.39,-4790.63,110,476.488,"2024-04-06",77468.66,-4595.15,126,578.361
"2025-04-08",62613.22,-3031.15,130,458.323,"2024-04-07",74053.86,-4785.09,137,505.611
"2025-04-09",58599.56,-2182.96,111,508.257,"2024-04-08",87016.61,-4387.46,138,598.761
"2025-04-10",54665.49,-3995.45,118,429.407,"2024-04-09",75606.71,-3111.4,128,566.369
"2025-04-11",67514.27,-2606.1,108,601.001,"2024-04-10",93960.7,-7573.71,146,591.691
"2025-04-12",62634.63,-4285.36,126,463.089,"2024-04-11",77919.44,-5680.17,167,432.57
"2025-04-13",65140.65,-4450.6,112,541.875,"2024-04-12",81058.22,-4818.79,169,451.12
"2025-04-14",55769.49,-4049.51,118,438.304,"2024-04-13",82678.93,-5596.63,139,554.548
"2025-04-15",59430.64,-3637.15,112,498.156,"2024-04-14",77831.12,-5038.44,112,649.934
"2025-04-16",56149.9,-2420.33,110,488.45,"2024-04-15",76806.84,-5080.55,125,573.81
"2025-04-17",53160.86,-2867.11,95,529.407,"2024-04-16",69446.17,-4603.07,113,573.832
"2025-04-18",56248.52,-3149.88,112,474.095,"2024-04-17",79402.39,-5521.87,133,555.492
"2025-04-19",65494.83,-4114.1,121,507.278,"2024-04-18",58398.19,-3776.15,139,392.964
"2025-04-20",77095.53,-3923.32,110,665.201,"2024-04-19",110200.7,-11775.45,243,405.042
"2025-04-21",61494.72,-2905.88,95,616.724,"2024-04-20",99379.55,-9634.32,146,614.693
"2025-04-22",56644.61,-3088.94,115,465.701,"2024-04-21",80043.19,-8320.25,149,481.362
"2025-04-23",54916.16,-3087.91,133,389.686,"2024-04-22",106161.1,-9443.86,159,608.284
"2025-04-24",65497.47,-2696.35,144,436.118,"2024-04-23",68164.13,-7722.16,140,431.728
"2025-04-25",68438.24,-3139.49,124,526.602,"2024-04-24",98952.17,-9013.63,180,499.658
"2025-04-26",54602.18,-2186.07,108,485.334,"2024-04-25",89694.63,-9725.77,183,436.988
