Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Unassigned,2024-12-17,8049,2171,0.2697229469499316,24.526773512237543,6.855758479314201,55182,240,0.0295688905454093,136062.211768
Unassigned,2024-12-11,7997,2362,0.2953607602851069,23.104039014630487,7.502063273727648,59994,163,0.0198824559209703,100218.385063
Paid Shopping,2024-12-25,7990,2774,0.3471839799749687,8.023153942428035,5.470838548185232,43712,11,0.0013767209011264,5685.02
Paid Shopping,2024-12-15,7876,2599,0.3299898425596749,8.752666328085322,5.824784154393093,45876,18,0.0022854240731335,12303.0
Referral,2024-12-26,7708,2379,0.3086403736377789,7.200181629475869,5.4766476388168135,42214,13,0.0016865594187856,5050.147264
Paid Shopping,2024-12-23,7668,2503,0.3264214919144496,8.135237350026083,5.374413145539906,41211,8,0.0010432968179447,4678.4
Unassigned,2024-12-13,7573,2142,0.2828469562920903,21.957612570975837,7.159910207315463,54222,162,0.0207315462828469,98307.717793
Paid Shopping,2024-12-13,7548,2371,0.3141229464758877,6.42845786963434,5.485956544780074,41408,14,0.001854795972443,3792.77
Paid Shopping,2024-12-08,7439,2277,0.3060895281623874,8.528968947439171,6.081462562172335,45240,25,0.0033606667562844,15346.61
Unassigned,2024-12-15,7398,2078,0.2808867261422006,23.188429305217625,6.966477426331441,51538,138,0.0185185185185185,93539.569616
Paid Shopping,2024-12-05,7357,2135,0.2901998097050428,6.8976484980290875,5.5458746771781975,40801,19,0.0024466494495038,8984.88
Unassigned,2024-12-20,7127,2059,0.2889013610214677,24.68149291426968,7.222674337028202,51476,147,0.0206257892521397,87027.555443
Unassigned,2024-12-26,7082,2056,0.2903134707709686,27.51765038124823,7.469923750353008,52902,136,0.0190624117480937,70896.998425
