"Month","Gross sales","Discounts","Orders","Average order value"
"2025-01-01",3821971.57,-274659.82,6929,511.951
"2025-02-01",2391602.38,-154929.41,4565,489.961
"2025-03-01",2476201.39,-185304.72,4815,475.783
"2025-04-01",2109605.17,-152466.25,4019,486.971
"2025-05-01",3857044.98,-440728.12,7136,478.743
"2025-06-01",2102349.47,-215228.91,4228,446.338
"2025-07-01",1331596.67,-129020.28,2961,406.138
