date,platform,spend,accounting_mode,attribution_model,attribution_window
2024-01-18,ShopMy,627.1489892959901,Cash snapshot,Monthly allocation,1
2024-01-18,TikTok,273.2195455318823,Cash snapshot,Monthly allocation,1
2024-01-19,Google,7283.22,Cash snapshot,Platform reported,1
2024-01-19,Meta,9700.35,Cash snapshot,Platform reported,1
2024-01-19,ShareASale,2855.4185043827383,Cash snapshot,Monthly allocation,1
2024-01-19,ShopMy,635.20633535608,Cash snapshot,Monthly allocation,1
2024-01-19,TikTok,276.72975517313847,Cash snapshot,Monthly allocation,1
2024-01-20,Google,7528.24,Cash snapshot,Platform reported,1
2024-01-20,Meta,9811.56,Cash snapshot,Platform reported,1
2024-01-20,ShareASale,2915.310843497322,Cash snapshot,Monthly allocation,1
2024-01-20,ShopMy,648.5297739996571,Cash snapshot,Monthly allocation,1
2024-01-20,TikTok,282.53415558396654,Cash snapshot,Monthly allocation,1
2024-01-21,Google,8735.93,Cash snapshot,Platform reported,1
2024-01-21,Meta,10245.27,Cash snapshot,Platform reported,1
2024-01-21,ShareASale,3191.2766111830224,Cash snapshot,Monthly allocation,1
2024-01-21,ShopMy,709.920145921077,Cash snapshot,Monthly allocation,1
2024-01-21,TikTok,309.27907553549556,Cash snapshot,Monthly allocation,1
2024-01-22,Google,6237.72,Cash snapshot,Platform reported,1
2024-01-22,Meta,9969.85,Cash snapshot,Platform reported,1
2024-01-22,ShareASale,2724.950954898089,Cash snapshot,Monthly allocation,1
2024-01-22,ShopMy,606.1829841857243,Cash snapshot,Monthly allocation,1
2024-01-22,TikTok,264.08563559083893,Cash snapshot,Monthly allocation,1
2024-01-23,Google,7084.17,Cash snapshot,Platform reported,1
2024-01-23,Meta,9812.78,Cash snapshot,Platform reported,1
2024-01-23,ShareASale,2840.8552322998003,Cash snapshot,Monthly allocation,1
2024-01-23,ShopMy,631.9666411829147,Cash snapshot,Monthly allocation,1
2024-01-23,TikTok,275.31837161873284,Cash snapshot,Monthly allocation,1
2024-01-24,Google,6974.78,Cash snapshot,Platform reported,1
2024-01-24,Meta,11648.6,Cash snapshot,Platform reported,1
2024-01-24,ShareASale,3131.1169480946237,Cash snapshot,Monthly allocation,1
2024-01-24,ShopMy,696.5372393285813,Cash snapshot,Monthly allocation,1
2024-01-24,TikTok,303.44876771469865,Cash snapshot,Monthly allocation,1
2024-01-25,Google,6431.12,Cash snapshot,Platform reported,1
2024-01-25,Meta,13153.43,Cash snapshot,Platform reported,1
2024-01-25,ShareASale,3292.7168121901914,Cash snapshot,Monthly allocation,1
2024-01-25,ShopMy,732.4861754682859,Cash snapshot,Monthly allocation,1
2024-01-25,TikTok,319.1100414504188,Cash snapshot,Monthly allocation,1
2024-01-26,Google,5676.68,Cash snapshot,Platform reported,1
2024-01-26,Meta,11987.84,Cash snapshot,Platform reported,1
2024-01-26,ShareASale,2969.905460338373,Cash snapshot,Monthly allocation,1
2024-01-26,ShopMy,660.6747000203245,Cash snapshot,Monthly allocation,1
2024-01-26,TikTok,287.8251330462917,Cash snapshot,Monthly allocation,1
2024-01-27,Google,6620.99,Cash snapshot,Platform reported,1
2024-01-27,Meta,12108.77,Cash snapshot,Platform reported,1
2024-01-27,ShareASale,3149.0024350974295,Cash snapshot,Monthly allocation,1
2024-01-27,ShopMy,700.5159817222701,Cash snapshot,Monthly allocation,1
2024-01-27,TikTok,305.182120087334,Cash snapshot,Monthly allocation,1
2024-01-28,Google,8317.82,Cash snapshot,Platform reported,1
2024-01-28,Meta,13068.23,Cash snapshot,Platform reported,1
2024-01-28,ShareASale,3595.599918371371,Cash snapshot,Monthly allocation,1
2024-01-28,ShopMy,799.8644836298784,Cash snapshot,Monthly allocation,1
2024-01-28,TikTok,348.46362576422376,Cash snapshot,Monthly allocation,1
2024-01-29,Google,7992.61,Cash snapshot,Platform reported,1
2024-01-29,Meta,12869.16,Cash snapshot,Platform reported,1
2024-01-29,ShareASale,3507.4536208922323,Cash snapshot,Monthly allocation,1
2024-01-29,ShopMy,780.2557690015356,Cash snapshot,Monthly allocation,1
2024-01-29,TikTok,339.92102394127534,Cash snapshot,Monthly allocation,1
2024-01-30,Google,7741.76,Cash snapshot,Platform reported,1
2024-01-30,Meta,12631.26,Cash snapshot,Platform reported,1
2024-01-30,ShareASale,3425.2809213940072,Cash snapshot,Monthly allocation,1
2024-01-30,ShopMy,761.975919923557,Cash snapshot,Monthly allocation,1
2024-01-30,TikTok,331.957346820336,Cash snapshot,Monthly allocation,1
2024-01-31,Google,7484.94,Cash snapshot,Platform reported,1
2024-01-31,Meta,12358.1,Cash snapshot,Platform reported,1
2024-01-31,ShareASale,3336.1762926879837,Cash snapshot,Monthly allocation,1
2024-01-31,ShopMy,742.1540183085247,Cash snapshot,Monthly allocation,1
