date,spend,year
2025-01-01,92128.112266,2025
2025-01-02,61962.993041,2025
2025-01-03,52986.008848,2025
2025-01-04,55689.162607,2025
2025-01-05,56270.270906,2025
2025-01-06,41585.26678,2025
2025-01-07,31049.477567,2025
2025-01-08,26437.333087,2025
2025-01-09,25522.737087999998,2025
2025-01-10,25798.333218,2025
2025-01-11,24192.705002,2025
2025-01-12,28747.21297,2025
2025-01-13,27260.930213,2025
2025-01-14,26188.687631,2025
2025-01-15,23171.851279,2025
2025-01-16,24636.851009,2025
2025-01-17,27701.694241999998,2025
2025-01-18,25755.147108,2025
2025-01-19,29036.50431,2025
2025-01-20,28398.064454,2025
2025-01-21,27186.124574999998,2025
2025-01-22,26093.498141,2025
2025-01-23,26801.664029,2025
2025-01-24,26205.612087999998,2025
2025-01-25,25237.931499,2025
2025-01-26,30034.899734,2025
2025-01-27,26805.160247,2025
2025-01-28,26919.421001,2025
2025-01-29,25914.120523,2025
2025-01-30,25132.252406,2025
2025-01-31,24093.819153,2025
2025-02-01,33062.70474264517,2025
2025-02-02,33062.70474264517,2025
2025-02-03,33062.70474264517,2025
2025-02-04,33062.70474264517,2025
2025-02-05,33062.70474264517,2025
2025-02-06,33062.70474264517,2025
2025-02-07,33062.70474264517,2025
2025-02-08,33062.70474264517,2025
2025-02-09,33062.70474264517,2025
2025-02-10,33062.70474264517,2025
2025-02-11,33062.70474264517,2025
2025-02-12,33062.70474264517,2025
2025-02-13,33062.70474264517,2025
2025-02-14,33062.70474264517,2025
2025-02-15,33062.70474264517,2025
2025-02-16,33062.70474264517,2025
2025-02-17,33062.70474264517,2025
2025-02-18,33062.70474264517,2025
2025-02-19,33062.70474264517,2025
2025-02-20,33062.70474264517,2025
2025-02-21,33062.70474264517,2025
2025-02-22,33062.70474264517,2025
2025-02-23,33062.70474264517,2025
2025-02-24,33062.70474264517,2025
2025-02-25,33062.70474264517,2025
2025-02-26,33062.70474264517,2025
2025-02-27,33062.70474264517,2025
2025-02-28,33062.70474264517,2025
2025-03-01,33062.70474264517,2025
2025-03-02,33062.70474264517,2025
2025-03-03,33062.70474264517,2025
2025-03-04,33062.70474264517,2025
2025-03-05,33062.70474264517,2025
2025-03-06,33062.70474264517,2025
2025-03-07,33062.70474264517,2025
2025-03-08,33062.70474264517,2025
2025-03-09,33062.70474264517,2025
2025-03-10,33062.70474264517,2025
2025-03-11,33062.70474264517,2025
2025-03-12,33062.70474264517,2025
2025-03-13,33062.70474264517,2025
2025-03-14,33062.70474264517,2025
2025-03-15,33062.70474264517,2025
2025-03-16,33062.70474264517,2025
2025-03-17,33062.70474264517,2025
2025-03-18,33062.70474264517,2025
2025-03-19,33062.70474264517,2025
2025-03-20,33062.70474264517,2025
2025-03-21,33062.70474264517,2025
2025-03-22,33062.70474264517,2025
2025-03-23,33062.70474264517,2025
2025-03-24,33062.70474264517,2025
2025-03-25,33062.70474264517,2025
2025-03-26,33062.70474264517,2025
2025-03-27,33062.70474264517,2025
2025-03-28,33062.70474264517,2025
2025-03-29,33062.70474264517,2025
2025-03-30,33062.70474264517,2025
2025-03-31,33062.70474264517,2025
