Month,"New
Revenue","New
Customers","New
AOV",,"Repeat
Revenue","Repeat
Orders","Repeat
AOV",,"Real
Revenue(1)","Shipping
Revenue(2)","Total
Orders","Total
AOV",,"Total
Spend","Total
Rev-net-Spend","Total
ROAS",,"ACQ
Spend","iAOV /
CAC","ACQ
CAC","ACQ
ROAS","New
Customer
Rev-net-Spend",,"RTN
Spend","RTN
CPO","Repeat
Rev-net-Spend",,"Facebook
Spend","TikTok
Spend","Google
Spend","Twitter
Spend","Pinterest
Spend",Bing,AppLovin,MNTN,"Paid
Channels",,"Share-A-Sale
Spend","ShopMy
Spend","Awin
Spend","Affiliate
Commissions(3)",,Total Spend
Mar-24,"$1,984,018","2,813",$705.30,,"$436,857","1,128",$387.28,,"$2,454,519","$11,645","3,972",$617.96,,"$575,907","$1,878,612",4.26x,,"$549,251",3.61x,$195.25,3.61x,"$1,434,767",,"$26,656",$23.63,"$410,201",,"$315,810","$10,279","$156,507",–,–,–,–,–,"$482,596",,"$86,827","$6,484",–,"$93,311",,"$575,907"
Apr-24,"$1,921,423","2,636",$728.92,,"$462,336","1,147",$403.08,,"$2,395,877","$6,901","3,802",$630.16,,"$538,472","$1,857,406",4.45x,,"$518,298",3.71x,$196.62,3.71x,"$1,403,125",,"$20,166",$17.58,"$442,170",,"$289,879","$6,146","$162,330",–,–,–,–,–,"$458,355",,"$71,931","$8,185",–,"$80,116",,"$538,471"
May-24,"$2,479,239","4,031",$615.04,,"$777,958","1,865",$417.14,,"$3,262,572","$6,096","5,916",$551.48,,"$678,070","$2,584,502",4.81x,,"$654,015",3.79x,$162.25,3.79x,"$1,825,224",,"$24,054",$12.90,"$753,904",,"$377,663","$10,148","$176,376",–,–,–,–,–,"$564,186",,"$89,540","$24,343",–,"$113,883",,"$678,070"
Jun-24,"$1,003,423","1,419",$707.13,,"$295,447",712,$414.95,,"$1,309,894","$4,276","2,153",$608.40,,"$320,475","$989,419",4.09x,,"$300,962",3.33x,$212.09,3.33x,"$702,461",,"$19,513",$27.41,"$275,934",,"$171,823",–,"$89,656",–,–,–,–,–,"$261,480",,"$51,614","$7,381",–,"$58,995",,"$320,475"
Jul-24,"$1,011,053","1,510",$669.57,,"$265,200",781,$339.56,,"$1,286,857","$2,904","2,307",$557.81,,"$347,722","$939,135",3.70x,,"$323,548",3.12x,$214.27,3.12x,"$687,505",,"$24,174",$30.95,"$241,026",,"$226,727",–,"$63,345",–,–,–,–,–,"$290,072",,"$49,922","$5,004","$2,723","$57,650",,"$347,722"
Aug-24,"$1,197,452","1,930",$620.44,,"$451,244","1,211",$372.62,,"$1,658,800","$3,996","3,164",$524.27,,"$389,587","$1,269,212",4.26x,,"$383,578",3.12x,$198.75,3.12x,"$813,874",,"$6,009",$4.96,"$445,235",,"$243,318",–,"$91,849",–,–,–,–,–,"$335,167",,"$32,503","$4,674","$17,243","$54,420",,"$389,587"
Sep-24,"$1,280,128","1,855",$690.10,,"$358,751",971,$369.47,,"$1,649,505","$3,870","2,848",$579.18,,"$469,519","$1,179,986",3.51x,,"$461,342",2.77x,$248.70,2.77x,"$818,785",,"$8,177",$8.42,"$350,574",,"$299,124",–,"$102,564","$8,895",–,–,–,–,"$410,583",,"$30,952","$7,492","$20,492","$58,936",,"$469,519"
Oct-24,"$941,450","1,421",$662.53,,"$322,751",962,$335.50,,"$1,288,535","$8,127","2,403",$536.22,,"$281,780","$1,006,755",4.57x,,"$254,862",3.69x,$179.35,3.69x,"$686,588",,"$26,918",$27.98,"$295,832",,"$162,543",–,"$63,188","$4,562",–,–,–,–,"$230,293",,"$27,666","$5,492","$18,329","$51,487",,"$281,780"
Nov-24,"$4,344,305","6,767",$641.98,,"$1,320,736","2,789",$473.55,,"$5,670,949","$16,672","9,576",$592.20,,"$1,369,535","$4,301,414",4.14x,,"$1,215,503",3.57x,$179.62,3.57x,"$3,128,802",,"$154,032",$55.23,"$1,166,704",,"$829,232","$24,378","$296,645",–,"$12,448",–,–,–,"$1,162,703",,"$28,871","$35,864","$142,097","$206,833",,"$1,369,535"
Dec-24,"$7,375,773","11,564",$637.82,,"$1,947,435","4,023",$484.08,,"$9,380,449","$36,410","15,626",$600.31,,"$2,911,758","$6,468,691",3.22x,,"$2,467,809",2.99x,$213.40,2.99x,"$4,907,963",,"$443,948",$110.35,"$1,503,487",,"$1,957,037","$41,001","$598,389",–,"$14,118",–,–,–,"$2,610,545",,"$42,685","$45,776","$212,751","$301,212",,"$2,911,758"
