campaign_name,send_datetime,status,year,type
12.02.24 - Higher Dose- Cyber Monday (UK),2024-12-02 10:00:00+00:00,Sent,2024,actual
12.02.24 - Higher Dose- Cyber Monday (EU),2024-12-02 10:00:00+00:00,Sent,2024,actual
12.02.24 - Higher Dose- Cyber Monday (US),2024-12-02 15:00:00+00:00,Sent,2024,actual
12.02.24 - Higher Dose- Cyber Monday (CA),2024-12-02 15:00:00+00:00,Sent,2024,actual
12.02.24 - Higher Dose- Cyber Monday - PM (EU),2024-12-02 18:00:00+00:00,Sent,2024,actual
12.02.24 - Higher Dose- Cyber Monday - PM (UK),2024-12-02 18:00:00+00:00,Sent,2024,actual
12.02.24 - Higher Dose- Cyber Monday - PM (US),2024-12-02 23:00:00+00:00,Sent,2024,actual
12.02.24 - Higher Dose- Cyber Monday - PM (CA),2024-12-02 23:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended (EU),2024-12-03 10:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended (UK),2024-12-03 10:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended (US),2024-12-03 15:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended (CA),2024-12-03 15:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended [PM] (UK),2024-12-03 18:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended [PM] (EU),2024-12-03 18:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended [PM] (CA),2024-12-03 23:00:00+00:00,Sent,2024,actual
12.03.24 - BFCM Savings Extended [PM] (US),2024-12-03 23:00:00+00:00,Sent,2024,actual
12.04.24 - Hyperice Bundles,2024-12-04 19:00:00+00:00,Sent,2024,actual
12.05.24 - Before & After Transformations // BFCM Sale Extended (UK),2024-12-05 10:00:00+00:00,Sent,2024,actual
12.05.24 - Before & After Transformations // BFCM Sale Extended (EU),2024-12-05 10:00:00+00:00,Sent,2024,actual
12.05.24 - Before & After Transformations // BFCM Sale Extended (US),2024-12-05 15:00:00+00:00,Sent,2024,actual
12.05.24 - Before & After Transformations // BFCM Sale Extended (CA),2024-12-05 15:00:00+00:00,Sent,2024,actual
12.06.24 - Gift Guide pt. 2 w/ Holiday Savings (UK),2024-12-06 10:00:00+00:00,Sent,2024,actual
12.06.24 - Gift Guide pt. 2 w/ Holiday Savings (EU),2024-12-06 10:00:00+00:00,Sent,2024,actual
12.06.24 - Gift Guide pt. 2 w/ Holiday Savings (CA),2024-12-06 15:00:00+00:00,Sent,2024,actual
12.06.24 - Gift Guide pt. 2 w/ Holiday Savings (US),2024-12-06 15:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - AM (EU),2024-12-08 10:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - AM (UK),2024-12-08 10:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - AM (US),2024-12-08 15:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - AM (CA),2024-12-08 15:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - PM (EU),2024-12-08 18:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - PM (UK),2024-12-08 18:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - PM (US),2024-12-08 23:00:00+00:00,Sent,2024,actual
12.08.24 - Final Hours for BFCM Savings - PM (CA),2024-12-08 23:00:00+00:00,Sent,2024,actual
12.09.24 - Holiday Sale Starts (UK),2024-12-09 10:00:00+00:00,Sent,2024,actual
12.09.24 - Holiday Sale Starts (EU),2024-12-09 10:00:00+00:00,Sent,2024,actual
12.09.24 - Holiday Sale Starts (CA),2024-12-09 15:00:00+00:00,Sent,2024,actual
12.09.24 - Holiday Sale Starts (US),2024-12-09 15:00:00+00:00,Sent,2024,actual
