breakdown_platform_northbeam,campaign_name,adset_name,ad_name,spend,attributed_rev
ShopMyShelf,ShopMy / Sheila Meggs Gibbons (custom spend input),ShopMy / Sheila Meggs Gibbons (custom spend input),ShopMy / Sheila Meggs Gibbons (custom spend input),123.11999999999996,0.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD015 - ADV+ | 25+ M/F | Shellie Edington | All Exclusions | 052825,SB_HD_ShellieEdingtonPost_v1_PDP_080125 - Copy 2,123.06999999999998,0.0
Awin,AWIN / 214459 (custom spend input),AWIN / 214459 (custom spend input),AWIN / 214459 (custom spend input),122.33999999999996,0.0
Awin,AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),120.85999999999996,0.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD081 - ADV+ | 25+ F | High-Dration Education | All Exclusions | 73025,SB_HD_081_Static_CPG Hydration Education_v2_PDP_ToF,118.08,48.0
Google Ads,US_Search_Brand_Alone_Exact,BR_Alone_Exact,752271584784 (RESPONSIVE_SEARCH_AD),114.901446,582.5
ShopMyShelf,ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),114.23000000000005,0.0
Awin,AWIN / 1145323 (custom spend input),AWIN / 1145323 (custom spend input),AWIN / 1145323 (custom spend input),113.72999999999998,0.0
TikTok,SB | SPC - Spark Ads | Testing | COL | 042825,Ad group 20250428083655,_001,111.19,0.0
Google Ads,US_Search_Brand_Alone_Exact,BR_Alone_Exact,752271584784 (RESPONSIVE_SEARCH_AD),110.18818000000002,376.75
Awin,AWIN / 1706785 (custom spend input),AWIN / 1706785 (custom spend input),AWIN / 1706785 (custom spend input),108.98000000000005,0.0
Awin,AWIN / 331035 (custom spend input),AWIN / 331035 (custom spend input),AWIN / 331035 (custom spend input),107.03999999999996,0.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD081 - ADV+ | 25+ F | High-Dration Education | All Exclusions | 73025,SB_HD_081_Static_CPG Hydration Education_v2_PDP_ToF,102.53,0.0
ShopMyShelf,ShopMy / Alexandra Wildeson (custom spend input),ShopMy / Alexandra Wildeson (custom spend input),ShopMy / Alexandra Wildeson (custom spend input),100.47,0.0
Awin,AWIN / 213861 (custom spend input),AWIN / 213861 (custom spend input),AWIN / 213861 (custom spend input),99.07999999999997,0.0
Awin,AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),97.07000000000002,0.0
Awin,AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),96.11999999999996,0.0
Awin,AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),95.30999999999997,0.0
Awin,AWIN / 1682753 (custom spend input),AWIN / 1682753 (custom spend input),AWIN / 1682753 (custom spend input),90.78999999999996,0.0
Awin,AWIN / 136348 (custom spend input),AWIN / 136348 (custom spend input),AWIN / 136348 (custom spend input),90.78999999999996,0.0
Awin,AWIN / 1860524 (custom spend input),AWIN / 1860524 (custom spend input),AWIN / 1860524 (custom spend input),89.94000000000003,0.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD081 - ADV+ | 25+ F | High-Dration Education | All Exclusions | 73025,SB_HD_081_Static_CPG Hydration Education_v2_PDP_ToF,89.01999999999998,9.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD081 - ADV+ | 25+ F | High-Dration Education | All Exclusions | 73025,SB_HD_081_Static_CPG Hydration Education_v2_PDP_ToF,84.80000000000001,0.0
Awin,AWIN / 301377 (custom spend input),AWIN / 301377 (custom spend input),AWIN / 301377 (custom spend input),84.29000000000005,0.0
Awin,AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),84.02999999999999,0.0
Awin,AWIN / 686351 (custom spend input),AWIN / 686351 (custom spend input),AWIN / 686351 (custom spend input),81.02999999999999,0.0
Awin,AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),73.93999999999997,0.0
Microsoft Ads,US_Brand_Alone_Exact,BR_Alone_Exact,74286074429598 (ResponsiveSearch),73.8,0.0
Awin,AWIN / 98969 (custom spend input),AWIN / 98969 (custom spend input),AWIN / 98969 (custom spend input),73.21999999999996,0.0
Awin,AWIN / 1684315 (custom spend input),AWIN / 1684315 (custom spend input),AWIN / 1684315 (custom spend input),73.05000000000003,0.0
Awin,AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),73.05000000000003,0.0
Awin,AWIN / 1006553 (custom spend input),AWIN / 1006553 (custom spend input),AWIN / 1006553 (custom spend input),70.89999999999999,0.0
Awin,AWIN / 1913466 (custom spend input),AWIN / 1913466 (custom spend input),AWIN / 1913466 (custom spend input),70.80000000000003,0.0
Awin,AWIN / 1006553 (custom spend input),AWIN / 1006553 (custom spend input),AWIN / 1006553 (custom spend input),70.01999999999998,0.0
TikTok,SB | SPC - Spark Ads | Testing | COL | 042825,Ad group 20250428083655,_001,69.14,0.0
Awin,AWIN / 181013 (custom spend input),AWIN / 181013 (custom spend input),AWIN / 181013 (custom spend input),69.02,0.0
Microsoft Ads,US_Shopping_AllProducts,All Products,73598880603526 (Product),67.78999999999999,0.0
Awin,AWIN / 1949635 (custom spend input),AWIN / 1949635 (custom spend input),AWIN / 1949635 (custom spend input),66.96999999999998,0.0
Awin,AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),65.75000000000001,0.0
Awin,AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),AWIN / 1400871 (custom spend input),65.75000000000001,0.0
Microsoft Ads,US_Shopping_AllProducts,All Products,73598880603526 (Product),65.38000000000001,336.5
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD081 - ADV+ | 25+ F | High-Dration Education | All Exclusions | 73025,SB_HD_081_Static_CPG Hydration Education_v2_PDP_ToF,65.02,0.0
Awin,AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),AWIN / 1249057 (custom spend input),62.679999999999986,0.0
Awin,AWIN / 1708621 (custom spend input),AWIN / 1708621 (custom spend input),AWIN / 1708621 (custom spend input),62.09999999999998,0.0
Awin,AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),60.19,0.0
Awin,AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),AWIN / 78888 (custom spend input),59.709999999999965,0.0
Awin,AWIN / 1684387 (custom spend input),AWIN / 1684387 (custom spend input),AWIN / 1684387 (custom spend input),58.44000000000002,0.0
Awin,AWIN / 1145323 (custom spend input),AWIN / 1145323 (custom spend input),AWIN / 1145323 (custom spend input),58.43000000000002,0.0
Awin,AWIN / 299513 (custom spend input),AWIN / 299513 (custom spend input),AWIN / 299513 (custom spend input),58.43000000000002,0.0
ShopMyShelf,ShopMy / The Honest Channel - Clare Johnston (custom spend input),ShopMy / The Honest Channel - Clare Johnston (custom spend input),ShopMy / The Honest Channel - Clare Johnston (custom spend input),58.179999999999986,0.0
ShopMyShelf,ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),58.179999999999986,0.0
Awin,AWIN / 301377 (custom spend input),AWIN / 301377 (custom spend input),AWIN / 301377 (custom spend input),57.69000000000002,0.0
ShopMyShelf,ShopMy / Vanessa (she/her) (custom spend input),ShopMy / Vanessa (she/her) (custom spend input),ShopMy / Vanessa (she/her) (custom spend input),57.24999999999998,0.0
ShopMyShelf,ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),57.24999999999998,0.0
ShopMyShelf,ShopMy / The Honest Channel - Clare Johnston (custom spend input),ShopMy / The Honest Channel - Clare Johnston (custom spend input),ShopMy / The Honest Channel - Clare Johnston (custom spend input),57.24999999999998,0.0
ShopMyShelf,ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),ShopMy / Penny Smith (custom spend input),57.24999999999998,0.0
Awin,AWIN / 1764625 (custom spend input),AWIN / 1764625 (custom spend input),AWIN / 1764625 (custom spend input),56.780000000000015,0.0
Awin,AWIN / 137521 (custom spend input),AWIN / 137521 (custom spend input),AWIN / 137521 (custom spend input),56.65999999999998,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,752273678541 (RESPONSIVE_SEARCH_AD),53.721301,64.14285714285714
ShopMyShelf,ShopMy / Brian Ellingwood (custom spend input),ShopMy / Brian Ellingwood (custom spend input),ShopMy / Brian Ellingwood (custom spend input),53.29999999999997,0.0
Microsoft Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,73736317564570 (ResponsiveSearch),52.489999999999995,0.0
ShopMyShelf,ShopMy / Kasey Lee Jordan (custom spend input),ShopMy / Kasey Lee Jordan (custom spend input),ShopMy / Kasey Lee Jordan (custom spend input),52.34999999999998,0.0
Awin,AWIN / 1470094 (custom spend input),AWIN / 1470094 (custom spend input),AWIN / 1470094 (custom spend input),51.11000000000002,0.0
Awin,AWIN / 1847136 (custom spend input),AWIN / 1847136 (custom spend input),AWIN / 1847136 (custom spend input),49.019999999999975,0.0
Microsoft Ads,US_Shopping_AllProducts,All Products,73598880603526 (Product),48.58,627.3000000000001
Awin,AWIN / 809309 (custom spend input),AWIN / 809309 (custom spend input),AWIN / 809309 (custom spend input),48.269999999999975,0.0
Awin,AWIN / 1741513 (custom spend input),AWIN / 1741513 (custom spend input),AWIN / 1741513 (custom spend input),48.269999999999975,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,752273678541 (RESPONSIVE_SEARCH_AD),48.249555,0.0
Microsoft Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,73736317564570 (ResponsiveSearch),48.09,0.0
Microsoft Ads,US_Shopping_AllProducts,All Products,73598880603526 (Product),46.75,0.0
Microsoft Ads,US_Brand_Alone_Exact,BR_Alone_Exact,74286074429598 (ResponsiveSearch),45.919999999999995,0.0
Awin,AWIN / 807785 (custom spend input),AWIN / 807785 (custom spend input),AWIN / 807785 (custom spend input),45.54000000000001,0.0
Awin,AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),45.08999999999999,0.0
ShopMyShelf,ShopMy / Brian Ellingwood (custom spend input),ShopMy / Brian Ellingwood (custom spend input),ShopMy / Brian Ellingwood (custom spend input),44.49999999999999,0.0
ShopMyShelf,ShopMy / Sarah Wragge (custom spend input),ShopMy / Sarah Wragge (custom spend input),ShopMy / Sarah Wragge (custom spend input),44.49999999999999,0.0
ShopMyShelf,ShopMy / Vanessa (she/her) (custom spend input),ShopMy / Vanessa (she/her) (custom spend input),ShopMy / Vanessa (she/her) (custom spend input),44.49999999999999,0.0
ShopMyShelf,ShopMy / Karishma Patel (custom spend input),ShopMy / Karishma Patel (custom spend input),ShopMy / Karishma Patel (custom spend input),44.49999999999999,0.0
ShopMyShelf,ShopMy / Katie Sturino (custom spend input),ShopMy / Katie Sturino (custom spend input),ShopMy / Katie Sturino (custom spend input),44.49999999999999,0.0
Microsoft Ads,US_Shopping_AllProducts,All Products,73598880603526 (Product),44.31999999999999,0.0
Microsoft Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,73736317564570 (ResponsiveSearch),43.43,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Website,73667598485349 (ResponsiveSearch),43.38,0.0
Awin,AWIN / 686351 (custom spend input),AWIN / 686351 (custom spend input),AWIN / 686351 (custom spend input),43.01999999999998,0.0
Awin,AWIN / 807785 (custom spend input),AWIN / 807785 (custom spend input),AWIN / 807785 (custom spend input),43.01999999999998,0.0
Facebook Ads,SB | Body Care & Supplements | Creative Testing | 42225,HD015 - ADV+ | 25+ M/F | Shellie Edington | All Exclusions | 052825,SB_HD_ShellieEdingtonPost_v1_PDP_052825 - Copy,42.59999999999999,0.0
Awin,AWIN / 2011891 (custom spend input),AWIN / 2011891 (custom spend input),AWIN / 2011891 (custom spend input),41.10999999999998,0.0
Microsoft Ads,US_Shopping_AllProducts,All Products,73598880603526 (Product),40.81,0.0
Google Ads,US_Brand_Core,Brand_Infrared,760717628341 (RESPONSIVE_SEARCH_AD),39.589622,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_Website,73667598485349 (ResponsiveSearch),38.51,0.0
Google Ads,US_Brand_Core,Brand_Accessories,760681777143 (RESPONSIVE_SEARCH_AD),38.236555,0.0
Awin,AWIN / 1366741 (custom spend input),AWIN / 1366741 (custom spend input),AWIN / 1366741 (custom spend input),38.04000000000001,0.0
Google Ads,US_Brand_Core,Brand_Website,752274987324 (RESPONSIVE_SEARCH_AD),37.342308,0.0
Microsoft Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,73736317564570 (ResponsiveSearch),36.93,0.0
Awin,AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),AWIN / 81392 (custom spend input),36.459999999999994,0.0
Google Ads,US_Brand_Core,Brand_Website,752274987324 (RESPONSIVE_SEARCH_AD),36.33,0.0
Awin,AWIN / 796279 (custom spend input),AWIN / 796279 (custom spend input),AWIN / 796279 (custom spend input),35.06,0.0
Microsoft Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,73736317564570 (ResponsiveSearch),33.7,0.0
Google Ads,US_Brand_Consumables,Brand_BodyCare,753905099716 (RESPONSIVE_SEARCH_AD),31.700000000000003,0.0
Awin,AWIN / 1913466 (custom spend input),AWIN / 1913466 (custom spend input),AWIN / 1913466 (custom spend input),31.47000000000001,0.0
Microsoft Ads,US_Shopping_AllProducts,All Products,73598880603526 (Product),29.89,0.0
Awin,AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),AWIN / 156708 (custom spend input),29.74999999999999,0.0
Google Ads,US_Brand_Core,Brand_Accessories,760681777143 (RESPONSIVE_SEARCH_AD),29.597467999999996,0.0
Google Ads,US_Brand_Core,Brand_Accessories,760681777143 (RESPONSIVE_SEARCH_AD),29.110898999999996,0.0
Google Ads,US_Brand_Consumables,Brand_BodyCare,753905099716 (RESPONSIVE_SEARCH_AD),27.712165,0.0
Microsoft Ads,US_Brand_Alone_Exact,BR_Alone_Exact,74286074429598 (ResponsiveSearch),27.22,0.0
Awin,AWIN / 225597 (custom spend input),AWIN / 225597 (custom spend input),AWIN / 225597 (custom spend input),26.859999999999985,0.0
Awin,AWIN / 301377 (custom spend input),AWIN / 301377 (custom spend input),AWIN / 301377 (custom spend input),25.760000000000012,0.0
Google Ads,US_Brand_Core,Brand_Website,752274987324 (RESPONSIVE_SEARCH_AD),24.272149,0.0
Google Ads,US_Brand_Alone_Phrase,Brand_Alone_Phrase,727749498895 (RESPONSIVE_SEARCH_AD),23.641036000000003,0.0
Microsoft Ads,US_Brand_Core,Brand_Core_FSA/HSA,73598879686275 (ResponsiveSearch),23.28,0.0
Google Ads,US_Brand_Core,Brand_Accessories,760681777143 (RESPONSIVE_SEARCH_AD),22.953879,0.0
